model,tau_steps,tau_minutes,precision,recall,f1,f2
lstm_event,1,5,0.1173,0.9149,0.1987,0.3509
lstm_event,2,10,0.1363,0.9071,0.2262,0.3865
lstm_event,3,15,0.1534,0.896,0.2498,0.4147
lstm_event,4,20,0.1685,0.8803,0.2694,0.4358
lstm_event,5,25,0.1811,0.8578,0.2844,0.4494
lstm_event,6,30,0.1913,0.8321,0.2957,0.4575
lstm_event,7,35,0.2003,0.8068,0.3049,0.4623
lstm_event,8,40,0.2089,0.7839,0.3131,0.4659
lstm_event,9,45,0.2174,0.761,0.3205,0.4679
lstm_event,10,50,0.225,0.7385,0.3264,0.4679
lstm_event,11,55,0.2312,0.7146,0.3302,0.4653
lstm_event,12,60,0.2373,0.6931,0.3336,0.4626
patchtst_event,1,5,0.02,0.5705,0.0373,0.0786
patchtst_event,2,10,0.0238,0.5919,0.044,0.0918
patchtst_event,3,15,0.0273,0.5993,0.0503,0.1037
patchtst_event,4,20,0.0307,0.6062,0.0563,0.1148
patchtst_event,5,25,0.034,0.6123,0.062,0.125
patchtst_event,6,30,0.0371,0.6152,0.0673,0.1343
patchtst_event,7,35,0.0402,0.6197,0.0725,0.143
patchtst_event,8,40,0.0431,0.6213,0.0773,0.151
patchtst_event,9,45,0.046,0.6219,0.082,0.1583
patchtst_event,10,50,0.0487,0.6189,0.0863,0.165
patchtst_event,11,55,0.0515,0.6161,0.0907,0.1716
patchtst_event,12,60,0.0544,0.615,0.0952,0.1785
